Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
21.811, 37.228, 36.224, 1.332, 0.020, 1.620, 21.810, -9.844
22.570, 37.953, 36.250, 1.272, 0.022, 1.640, 22.569, -9.828
23.344, 38.679, 36.274, 1.207, 0.023, 1.660, 23.342, -9.810
24.132, 39.405, 36.297, 1.138, 0.025, 1.680, 24.130, -9.791
24.934, 40.131, 36.318, 1.065, 0.026, 1.700, 24.933, -9.771
25.752, 40.858, 36.338, 0.987, 0.028, 1.720, 25.749, -9.749
26.583, 41.585, 36.356, 0.905, 0.029, 1.740, 26.581, -9.726
27.429, 42.312, 36.372, 0.818, 0.031, 1.760, 27.427, -9.700
28.290, 43.040, 36.387, 0.726, 0.033, 1.780, 28.287, -9.673
29.166, 43.768, 36.399, 0.630, 0.034, 1.800, 29.162, -9.644
30.056, 44.496, 36.410, 0.530, 0.036, 1.820, 30.051, -9.612
30.960, 45.225, 36.418, 0.425, 0.038, 1.840, 30.955, -9.579
31.879, 45.953, 36.425, 0.315, 0.040, 1.860, 31.873, -9.543
32.813, 46.682, 36.429, 0.201, 0.042, 1.880, 32.806, -9.504
33.761, 47.410, 36.430, 0.082, 0.044, 1.900, 33.754, -9.463
34.724, 48.139, 36.429, -0.041, 0.046, 1.920, 34.715, -9.420
35.701, 48.867, 36.426, -0.169, 0.049, 1.940, 35.692, -9.373
36.693, 49.596, 36.420, -0.301, 0.051, 1.960, 36.682, -9.324
37.699, 50.324, 36.411, -0.437, 0.053, 1.980, 37.687, -9.272
38.721, 51.052, 36.400, -0.577, 0.056, 2.000, 38.707, -9.216
39.756, 51.780, 36.385, -0.722, 0.058, 2.020, 39.741, -9.157
40.806, 52.507, 36.368, -0.870, 0.061, 2.040, 40.789, -9.095
41.871, 53.234, 36.348, -1.022, 0.063, 2.060, 41.852, -9.029
42.950, 53.960, 36.324, -1.178, 0.066, 2.080, 42.929, -8.960
44.044, 54.686, 36.297, -1.337, 0.069, 2.100, 44.020, -8.886
45.152, 55.412, 36.267, -1.500, 0.071, 2.120, 45.126, -8.809
46.275, 56.136, 36.234, -1.665, 0.074, 2.140, 46.245, -8.727
47.412, 56.860, 36.197, -1.833, 0.077, 2.160, 47.379, -8.642
48.564, 57.584, 36.157, -2.004, 0.080, 2.180, 48.528, -8.551
49.730, 58.300, 35.810, -17.335, 0.083, 2.200, 49.690, -8.457
50.910, 59.003, 35.157, -32.675, 0.086, 2.220, 50.865, -8.357
52.104, 59.693, 34.500, -32.858, 0.089, 2.240, 52.055, -8.253
53.311, 60.370, 33.839, -33.037, 0.092, 2.260, 53.257, -8.144
54.532, 61.033, 33.175, -33.211, 0.095, 2.280, 54.473, -8.030
55.765, 61.683, 32.507, -33.378, 0.098, 2.300, 55.700, -7.910
57.012, 62.320, 31.836, -33.539, 0.102, 2.320, 56.941, -7.786
58.271, 62.943, 31.163, -33.692, 0.105, 2.340, 58.193, -7.656
59.542, 63.553, 30.486, -33.838, 0.108, 2.360, 59.457, -7.521
60.825, 64.149, 29.806, -33.976, 0.111, 2.380, 60.732, -7.381
62.119, 64.732, 29.124, -34.104, 0.115, 2.400, 62.018, -7.235
63.425, 65.300, 28.440, -34.224, 0.118, 2.420, 63.316, -7.083
64.742, 65.855, 27.753, -34.334, 0.121, 2.440, 64.623, -6.926
66.070, 66.397, 27.064, -34.434, 0.125, 2.460, 65.941, -6.763
67.409, 66.924, 26.374, -34.524, 0.128, 2.480, 67.269, -6.595
68.758, 67.438, 25.682, -34.603, 0.131, 2.500, 68.606, -6.420
70.116, 67.938, 24.988, -34.671, 0.135, 2.520, 69.953, -6.240
71.485, 68.424, 24.294, -34.728, 0.138, 2.540, 71.309, -6.054
72.863, 68.896, 23.598, -34.774, 0.141, 2.560, 72.673, -5.862
74.250, 69.354, 22.902, -34.809, 0.145, 2.580, 74.046, -5.664
75.646, 69.798, 22.206, -34.832, 0.148, 2.600, 75.427, -5.461
77.050, 70.228, 21.509, -34.843, 0.151, 2.620, 76.816, -5.252
78.463, 70.644, 20.812, -34.843, 0.154, 2.640, 78.213, -5.037
79.884, 71.046, 20.115, -34.832, 0.158, 2.660, 79.616, -4.816
81.313, 71.435, 19.419, -34.809, 0.161, 2.680, 81.027, -4.590
82.749, 71.809, 18.724, -34.775, 0.164, 2.700, 82.444, -4.358
84.192, 72.170, 18.029, -34.730, 0.167, 2.720, 83.868, -4.120
85.643, 72.517, 17.335, -34.675, 0.170, 2.740, 85.298, -3.877
87.100, 72.849, 16.643, -34.609, 0.173, 2.760, 86.733, -3.629
88.563, 73.168, 15.953, -34.533, 0.176, 2.780, 88.175, -3.375
90.033, 73.474, 15.264, -34.447, 0.179, 2.800, 89.621, -3.116
91.508, 73.765, 14.577, -34.352, 0.181, 2.820, 91.073, -2.852
92.989, 74.043, 13.892, -34.248, 0.184, 2.840, 92.529, -2.583
94.475, 74.307, 13.209, -34.135, 0.187, 2.860, 93.990, -2.309
