Position,Velocity,Acceleration,Jerk,Heading,DeltaTime,X,Y
21.401, 35.977, 33.495, -1.332, 0.020, 1.620, 21.400, 10.152
22.134, 36.647, 33.470, -1.272, 0.022, 1.640, 22.133, 10.168
22.880, 37.316, 33.446, -1.207, 0.023, 1.660, 22.879, 10.184
23.640, 37.984, 33.423, -1.139, 0.025, 1.680, 23.639, 10.203
24.413, 38.652, 33.402, -1.065, 0.026, 1.700, 24.411, 10.222
25.199, 39.320, 33.382, -0.987, 0.028, 1.720, 25.197, 10.243
25.999, 39.987, 33.364, -0.905, 0.029, 1.740, 25.997, 10.266
26.812, 40.654, 33.347, -0.818, 0.031, 1.760, 26.810, 10.290
27.639, 41.321, 33.333, -0.727, 0.033, 1.780, 27.636, 10.317
28.478, 41.987, 33.320, -0.631, 0.034, 1.800, 28.475, 10.345
29.331, 42.653, 33.310, -0.530, 0.036, 1.820, 29.327, 10.375
30.198, 43.319, 33.301, -0.425, 0.038, 1.840, 30.193, 10.407
31.078, 43.985, 33.295, -0.315, 0.040, 1.860, 31.072, 10.441
31.971, 44.651, 33.291, -0.201, 0.042, 1.880, 31.964, 10.478
32.877, 45.317, 33.289, -0.082, 0.044, 1.900, 32.870, 10.517
33.797, 45.982, 33.290, 0.041, 0.046, 1.920, 33.789, 10.559
34.730, 46.648, 33.293, 0.169, 0.049, 1.940, 34.721, 10.603
35.676, 47.314, 33.299, 0.301, 0.051, 1.960, 35.666, 10.650
36.635, 47.980, 33.308, 0.437, 0.053, 1.980, 36.624, 10.700
37.608, 48.647, 33.320, 0.577, 0.056, 2.000, 37.595, 10.753
38.595, 49.314, 33.334, 0.722, 0.058, 2.020, 38.580, 10.809
39.594, 49.981, 33.351, 0.870, 0.061, 2.040, 39.578, 10.868
40.607, 50.648, 33.372, 1.022, 0.063, 2.060, 40.589, 10.931
41.634, 51.316, 33.395, 1.178, 0.066, 2.080, 41.613, 10.997
42.673, 51.984, 33.422, 1.337, 0.069, 2.100, 42.651, 11.067
43.726, 52.653, 33.452, 1.500, 0.071, 2.120, 43.701, 11.140
44.793, 53.323, 33.486, 1.665, 0.074, 2.140, 44.765, 11.218
45.873, 53.994, 33.522, 1.833, 0.077, 2.160, 45.841, 11.299
46.966, 54.665, 33.562, 2.004, 0.080, 2.180, 46.931, 11.385
48.073, 55.331, 33.318, -12.207, 0.083, 2.200, 48.034, 11.475
49.192, 55.987, 32.790, -26.409, 0.086, 2.220, 49.150, 11.569
50.325, 56.632, 32.265, -26.226, 0.089, 2.240, 50.278, 11.668
51.470, 57.267, 31.744, -26.047, 0.092, 2.260, 51.419, 11.772
52.628, 57.892, 31.227, -25.874, 0.095, 2.280, 52.572, 11.880
53.798, 58.506, 30.713, -25.706, 0.098, 2.300, 53.737, 11.993
54.980, 59.110, 30.202, -25.546, 0.102, 2.320, 54.913, 12.111
56.174, 59.704, 29.694, -25.392, 0.105, 2.340, 56.101, 12.234
57.380, 60.288, 29.189, -25.246, 0.108, 2.360, 57.299, 12.362
58.597, 60.861, 28.687, -25.108, 0.111, 2.380, 58.509, 12.495
59.826, 61.425, 28.187, -24.980, 0.115, 2.400, 59.730, 12.634
61.066, 61.979, 27.690, -24.860, 0.118, 2.420, 60.961, 12.778
62.316, 62.523, 27.195, -24.750, 0.121, 2.440, 62.203, 12.927
63.577, 63.057, 26.702, -24.650, 0.125, 2.460, 63.454, 13.082
64.849, 63.581, 26.211, -24.560, 0.128, 2.480, 64.716, 13.242
66.131, 64.096, 25.721, -24.481, 0.131, 2.500, 65.987, 13.408
67.423, 64.600, 25.233, -24.413, 0.135, 2.520, 67.268, 13.579
68.725, 65.095, 24.746, -24.355, 0.138, 2.540, 68.557, 13.756
70.036, 65.580, 24.260, -24.310, 0.141, 2.560, 69.856, 13.939
71.357, 66.056, 23.774, -24.275, 0.145, 2.580, 71.164, 14.127
72.688, 66.522, 23.289, -24.252, 0.148, 2.600, 72.480, 14.321
74.027, 66.978, 22.805, -24.241, 0.151, 2.620, 73.805, 14.520
75.376, 67.424, 22.320, -24.241, 0.154, 2.640, 75.137, 14.725
76.733, 67.861, 21.835, -24.252, 0.158, 2.660, 76.478, 14.936
78.099, 68.288, 21.349, -24.275, 0.161, 2.680, 77.827, 15.153
79.473, 68.705, 20.863, -24.309, 0.164, 2.700, 79.183, 15.375
80.855, 69.113, 20.376, -24.354, 0.167, 2.720, 80.546, 15.602
82.245, 69.510, 19.888, -24.409, 0.170, 2.740, 81.917, 15.835
83.643, 69.898, 19.398, -24.475, 0.173, 2.760, 83.294, 16.073
85.049, 70.276, 18.907, -24.551, 0.176, 2.780, 84.678, 16.317
86.462, 70.645, 18.414, -24.637, 0.179, 2.800, 86.069, 16.566
87.882, 71.003, 17.920, -24.732, 0.181, 2.820, 87.466, 16.820
89.309, 71.352, 17.423, -24.836, 0.184, 2.840, 88.870, 17.080
90.743, 71.690, 16.924, -24.949, 0.187, 2.860, 90.279, 17.344
92.183, 72.018, 16.423, -25.070, 0.189, 2.880, 91.694, 17.613
93.630, 72.337, 15.919, -25.199, 0.192, 2.900, 93.115, 17.887
95.083, 72.645, 15.412, -25.336, 0.194, 2.920, 94.541, 18.165
96.541, 72.943, 14.902, -25.479, 0.196, 2.940, 95.972, 18.448
98.006, 73.231, 14.390, -25.628, 0.198, 2.960, 97.408, 18.735
99.476, 73.508, 13.874, -25.784, 0.201, 2.980, 98.849, 19.026
100.952, 73.776, 13.355, -25.946, 0.203, 3.000, 100.295, 19.322
102.432, 74.032, 12.833, -26.112, 0.204, 3.020, 101.745, 19.621
103.918, 74.278, 12.307, -26.284, 0.206, 3.040, 103.199, 19.924
105.408, 74.514, 11.778, -26.460, 0.208, 3.060, 104.657, 20.231
106.903, 74.739, 11.245, -26.640, 0.210, 3.080, 106.120, 20.540
108.402, 74.953, 10.709, -26.824, 0.211, 3.100, 107.586, 20.853
109.905, 75.156, 10.169, -27.011, 0.212, 3.120, 109.055, 21.169
111.412, 75.349, 9.625, -27.201, 0.214, 3.140, 110.528, 21.488
112.923, 75.530, 9.077, -27.393, 0.215, 3.160, 112.004, 21.809
114.437, 75.701, 8.525, -27.588, 0.216, 3.180, 113.483, 22.132
115.954, 75.860, 7.969, -27.786, 0.217, 3.200, 114.965, 22.458
117.474, 76.008, 7.410, -27.985, 0.218, 3.220, 116.450, 22.786
118.997, 76.145, 6.846, -28.185, 0.218, 3.240, 117.937, 23.115
120.523, 76.271, 6.278, -28.387, 0.219, 3.260, 119.426, 23.445
122.050, 76.385, 5.706, -28.591, 0.219, 3.280, 120.917, 23.777
123.580, 76.488, 5.130, -28.795, 0.219, 3.300, 122.410, 24.110
125.112, 76.579, 4.550, -29.000, 0.220, 3.320, 123.905, 24.444
126.645, 76.657, 3.935, -30.793, 0.220, 3.340, 125.401, 24.778
128.179, 76.718, 3.019, -45.787, 0.220, 3.360, 126.899, 25.112
129.714, 76.760, 2.130, -44.456, 0.219, 3.380, 128.397, 25.446
131.250, 76.791, 1.532, -29.902, 0.219, 3.400, 129.896, 25.780
132.786, 76.810, 0.930, -30.107, 0.219, 3.420, 131.396, 26.114
134.323, 76.816, 0.323, -30.312, 0.218, 3.440, 132.895, 26.447
135.859, 76.810, -0.287, -30.516, 0.217, 3.460, 134.395, 26.779
137.395, 76.792, -0.901, -30.719, 0.217, 3.480, 135.895, 27.110
138.930, 76.762, -1.520, -30.921, 0.216, 3.500, 137.395, 27.439
140.464, 76.719, -2.142, -31.122, 0.215, 3.520, 138.894, 27.767
141.998, 76.664, -2.769, -31.320, 0.214, 3.540, 140.392, 28.092
143.529, 76.596, -3.399, -31.517, 0.212, 3.560, 141.889, 28.416
145.060, 76.515, -4.033, -31.712, 0.211, 3.580, 143.385, 28.737
146.588, 76.422, -4.671, -31.905, 0.209, 3.600, 144.880, 29.056
